cardiac_neuro_cava_random:SNAI2|ENSG00000019549.13|EH38E2629887_rev_tile1-1
cardiac_neuro_cava_random:KCNQ3|ENSG00000184156.17|EH38E3861223_rev_tile1-1
cardiac_neuro_cava_random:KCNQ3|ENSG00000184156.17|EH38E2669222_rev_tile1-1
cardiac_neuro_cava_random:KCNQ3|ENSG00000184156.17|EH38E2669243_rev_tile1-1
cardiac_neuro_cava_random:SMARCA2|ENSG00000080503.25|EH38E3871542_fwd_tile1-1
cardiac_neuro_cava_random:SMARCA2|ENSG00000080503.25|EH38E3871545_fwd_tile1-1
cardiac_neuro_cava_random:RORB|ENSG00000198963.11|EH38E3886242_fwd_tile1-1
cardiac_neuro_cava_random:NTRK2|ENSG00000148053.18|EH38E3889610_fwd_tile1-1
cardiac_neuro_cava_random:NTRK2|ENSG00000148053.18|EH38E3889651_fwd_tile1-1
cardiac_neuro_cava_random:NTRK2|ENSG00000148053.18|EH38E2702642_fwd_tile1-1
cardiac_neuro_cava_random:NTRK2|ENSG00000148053.18|EH38E2702663_fwd_tile1-1
cardiac_neuro_cava_random:NTRK2|ENSG00000148053.18|EH38E3889710_fwd_tile1-1
cardiac_neuro_cava_random:ZNF462|ENSG00000148143.13|EH38E3899565_fwd_tile1-1
cardiac_neuro_cava_random:ZNF462|ENSG00000148143.13|EH38E2715164_fwd_tile1-1
cardiac_neuro_cava_random:ZNF462|ENSG00000148143.13|EH38E3899600_fwd_tile1-1
cardiac_neuro_cava_random:ZNF462|ENSG00000148143.13|EH38E3899604_fwd_tile1-1
cardiac_neuro_cava_random:SPTAN1|ENSG00000197694.19|EH38E2729659_fwd_tile1-1
cardiac_neuro_cava_random:ABL1|ENSG00000097007.20|EH38E2731771_fwd_tile1-1
cardiac_neuro_cava_random:RFX3|ENSG00000080298.16|EH38E3871999_rev_tile1-1
cardiac_neuro_cava_random:PAX5|ENSG00000196092.14|EH38E3882285_rev_tile1-1
cardiac_neuro_cava_random:PAX5|ENSG00000196092.14|EH38E2692832_rev_tile1-1
cardiac_neuro_cava_random:ROR2|ENSG00000169071.15|EH38E3893175_rev_tile1-1
cardiac_neuro_cava_random:GABBR2|ENSG00000136928.7|EH38E2711516_rev_tile1-1
cardiac_neuro_cava_random:GABBR2|ENSG00000136928.7|EH38E2711550_rev_tile1-1
cardiac_neuro_cava_random:GABBR2|ENSG00000136928.7|EH38E2711624_rev_tile1-1
cardiac_neuro_cava_random:KLF4|ENSG00000136826.15|EH38E3899815_rev_tile1-1
cardiac_neuro_cava_random:KLF4|ENSG00000136826.15|EH38E3899843_rev_tile1-1
cardiac_neuro_cava_random:KLF4|ENSG00000136826.15|EH38E3899851_rev_tile1-1
cardiac_neuro_cava_random:TSC1|ENSG00000165699.15|EH38E3915344_rev_tile1-1
cardiac_neuro_cava_random:TSC1|ENSG00000165699.15|EH38E3915392_rev_tile1-1
cardiac_neuro_cava_random:CELF2|ENSG00000048740.19|EH38E2885643_fwd_tile1-1
cardiac_neuro_cava_random:CELF2|ENSG00000048740.19|EH38E1447851_fwd_tile1-1
